"","GeneID","X.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.y","Protein_product","Replicon_Name","Replicon_Accession","Start","Stop","Strand","Gene","Length","Protein_name","Sequence_Length","Sequence_Description","Annotation_GO_ID","Enzyme_Code","Enzyme_Name"
"1","LOC111099450","MSTRG.50499|LOC111099450",0.919058381867827,19.9559226479091,4.8504454339246,4.11424536565962,3.88448082719267e-05,0.00883669010272811,394,"XP_022286440.1","6","NC_035785.1",27938253,27960586,"-",111099450,135,"homeobox protein Hox-A3-like isoform X2",408,"homeobox protein Hox-A3-like isoform X2","","",""
"2","LOC111099450","MSTRG.50499|LOC111099450",0.919058381867827,19.9559226479091,4.8504454339246,4.11424536565962,3.88448082719267e-05,0.00883669010272811,392,"XP_022286438.1","6","NC_035785.1",27959582,27960586,"-",111099450,334,"uncharacterized protein LOC111099450 isoform X1",1005,"uncharacterized protein LOC111099450 isoform X1","","",""
"3","LOC111099450","MSTRG.50499|LOC111099450",0.919058381867827,19.9559226479091,4.8504454339246,4.11424536565962,3.88448082719267e-05,0.00883669010272811,393,"XP_022286439.1","6","NC_035785.1",27959582,27960586,"-",111099450,334,"uncharacterized protein LOC111099450 isoform X1",1005,"uncharacterized protein LOC111099450 isoform X1","","",""
"4","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,18.1709131750429,4.78682995253062,3.79602228515275,0.000147036286813167,0.0219347740017844,460,"XP_022286506.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"5","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,18.1709131750429,4.78682995253062,3.79602228515275,0.000147036286813167,0.0219347740017844,437,"XP_022286483.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"6","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,18.1709131750429,4.78682995253062,3.79602228515275,0.000147036286813167,0.0219347740017844,446,"XP_022286492.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"7","LOC111099481","MSTRG.6662|LOC111099481",3.18509838386402,18.1709131750429,4.78682995253062,3.79602228515275,0.000147036286813167,0.0219347740017844,453,"XP_022286499.1","1","NC_035780.1",53869340,53871298,"+",111099481,379,"zinc finger protein Aiolos-like",1140,"zinc finger protein Aiolos-like","GO:0003674","",""
"8","LOC111099655","MSTRG.47299|LOC111099655",12.1006354478092,26.0879767914779,7.35325552612425,3.54781316911863,0.000388443655200703,0.0468643743312227,682,"XP_022286728.1","6","NC_035785.1",665463,666953,"+",111099655,496,"uncharacterized protein LOC111099655 isoform X1",1491,"uncharacterized protein LOC111099655 isoform X1","","",""
"9","LOC111099655","MSTRG.47299|LOC111099655",12.1006354478092,26.0879767914779,7.35325552612425,3.54781316911863,0.000388443655200703,0.0468643743312227,685,"XP_022286731.1","6","NC_035785.1",656953,665538,"+",111099655,293,"probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial isoform X2",882,"probable pyruvate dehydrogenase E1 component subunit alpha%2C mitochondrial isoform X2","GO:0016491","",""
"10","LOC111099655","MSTRG.47299|LOC111099655",12.1006354478092,26.0879767914779,7.35325552612425,3.54781316911863,0.000388443655200703,0.0468643743312227,683,"XP_022286729.1","6","NC_035785.1",665463,666953,"+",111099655,496,"uncharacterized protein LOC111099655 isoform X1",1491,"uncharacterized protein LOC111099655 isoform X1","","",""
"11","LOC111099985","MSTRG.51114|LOC111099985",1.57150726037155,21.4593134079149,4.80492636347164,4.46610661321564,7.96559257543497e-06,0.00260766211389621,1200,"XP_022287246.1","6","NC_035785.1",32654569,32656566,"+",111099985,484,"cytochrome P450 2B19-like",1455,"cytochrome P450 2B19-like","GO:0016491;GO:0043167","",""
"12","LOC111100010","MSTRG.51997|LOC111100010",4.10098977816126,25.902800776352,4.25787925191951,6.08349820269672,1.17588236562804e-09,1.59899649915239e-06,1232,"XP_022287278.1","6","NC_035785.1",38159089,38162057,"+",111100010,283,"uncharacterized protein LOC111100010 isoform X1",852,"uncharacterized protein LOC111100010 isoform X1","","",""
"13","LOC111100010","MSTRG.51997|LOC111100010",4.10098977816126,25.902800776352,4.25787925191951,6.08349820269672,1.17588236562804e-09,1.59899649915239e-06,1233,"XP_022287279.1","6","NC_035785.1",38160296,38162057,"+",111100010,235,"uncharacterized protein LOC111100010 isoform X2",708,"uncharacterized protein LOC111100010 isoform X2","","",""
"14","LOC111100010","MSTRG.51997|LOC111100010",4.10098977816126,25.902800776352,4.25787925191951,6.08349820269672,1.17588236562804e-09,1.59899649915239e-06,1234,"XP_022287280.1","6","NC_035785.1",38160296,38162057,"+",111100010,235,"uncharacterized protein LOC111100010 isoform X2",708,"uncharacterized protein LOC111100010 isoform X2","","",""
"15","LOC111100010","MSTRG.51997|LOC111100010",4.10098977816126,25.902800776352,4.25787925191951,6.08349820269672,1.17588236562804e-09,1.59899649915239e-06,1231,"XP_022287277.1","6","NC_035785.1",38159089,38162057,"+",111100010,283,"uncharacterized protein LOC111100010 isoform X1",852,"uncharacterized protein LOC111100010 isoform X1","","",""
